# Credit card default data
#
# A data set containing information on customers. The aim here is to predict
# which customers will default based on their credit card debt and income.
#
# Variables:
# default = a factor with levels "No" and "Yes" indicating whether the 
#           customer defaulted on their debt.
# balance = the average balance that the customer has remaining on their 
#           credit card after making their monthly payment
# income = income of customer
#
default,balance,income
No,1344,41417
Yes,843,10305
No,380,38865
No,733,34525
No,349,48942
No,943,40370
No,1249,51897
No,713,51108
No,834,36722
No,1559,37490
No,1362,37737
No,1582,45730
No,325,39752
No,1113,47527
No,380,32578
No,1549,26240
No,1489,46733
No,548,41648
No,562,37637
No,595,34470
No,268,27365
No,619,37333
No,206,37766
No,1011,36365
No,293,43705
Yes,1666,18420
No,797,39929
No,791,47304
No,942,36965
No,707,46165
No,767,55991
No,569,37075
No,939,44281
No,1012,34632
No,1355,18936
No,912,43487
No,290,25725
Yes,1336,6436
No,555,28164
No,769,35504
No,986,48940
No,535,29685
No,1403,39657
No,968,46278
No,884,36889
No,1141,37918
No,365,21358
No,38,33579
No,1007,47784
No,1108,34562
No,778,45674
No,1501,35399
No,1820,31310
No,576,40180
No,838,31018
No,400,34875
No,1107,46565
No,391,38442
No,1477,42271
No,578,20307
No,1064,28192
No,1598,46405
No,863,33530
No,1158,32575
No,309,44203
No,944,28354
No,1207,42917
No,1167,26978
No,800,61281
No,715,31033
No,471,28418
No,662,30390
No,770,53398
No,597,55497
No,141,48183
No,1036,29423
No,888,54073
No,704,44775
No,1036,42915
No,1244,38075
No,69,20223
No,196,29933
No,1034,52107
No,868,50550
No,1236,48800
No,13,46282
No,1210,45066
No,1644,33981
No,1053,54010
No,240,41509
No,63,44441
No,296,51838
Yes,2086,23637
No,474,58069
No,505,54297
No,292,33961
No,593,40227
No,76,50055
No,877,40689
No,280,30262
No,1155,40398
No,973,27289
No,197,41315
No,1526,44845
No,441,56060
No,1005,56533
No,1258,36645
No,1564,37120
No,367,29906
No,647,32725
No,948,37891
No,1254,37456
No,949,50529
No,530,27611
No,834,54558
No,638,36174
Yes,1687,20297
No,295,63285
No,1178,34721
No,1150,57891
No,910,42468
No,1505,30774
No,1276,35123
No,875,25023
No,1105,51516
No,699,37466
No,1055,33945
No,796,44182
No,612,39291
No,1670,41410
No,1423,33591
No,771,29623
No,1315,29808
No,599,53218
No,584,34129
No,27,51660
No,66,32332
No,1338,23910
No,726,41996
No,1354,44373
No,532,38122
No,1825,36763
No,551,19106
No,652,35266
No,718,50766
No,1009,31236
No,1393,38372
No,587,45520
No,793,45873
No,286,43264
No,384,39946
No,252,38432
No,1164,40167
No,1080,38399
No,906,47102
No,458,26567
No,1216,42762
No,217,45083
No,1615,55220
No,672,17621
No,634,38673
No,776,58482
No,911,43796
No,1011,42163
No,1090,48281
No,1009,53802
No,730,44412
No,991,30942
No,1357,35031
No,577,41699
No,1335,43386
No,1488,47624
No,779,48552
No,444,37599
No,1023,34632
No,662,47169
No,313,34919
No,645,30102
No,780,22975
No,1288,38507
No,1178,32295
No,795,25705
No,877,24903
No,824,36702
No,1019,52090
No,943,38909
No,7,40145
No,1140,33605
No,1599,48717
No,1226,21426
No,930,50612
No,807,43854
No,345,56966
No,982,42907
No,743,39018
No,1060,30948
No,524,33767
No,698,29799
Yes,801,7802
No,1352,34248
No,377,50671
No,630,37255
No,541,42332
No,421,42721
No,501,47911
No,1089,43360
No,604,56468
Yes,1166,36689
No,1458,43155
No,390,27108
No,584,35517
No,901,13498
No,1146,39902
No,1058,43327
No,474,35981
No,1185,33299
No,473,41257
No,1258,30964
No,641,37307
No,106,42443
No,672,25947
No,569,45187
No,1547,57267
No,230,28930
No,815,34200
No,661,27874
No,524,45284
No,176,40044
No,978,38368
No,838,44261
No,638,53813
No,714,48631
No,738,36086
No,508,58028
No,435,48898
No,630,53069
No,838,40903
No,1408,52746
No,364,38110
Yes,1194,20322
No,646,46406
No,684,38185
No,1168,46905
No,766,51614
No,526,45531
No,631,38878
No,914,53809
No,579,60499
No,1504,43888
Yes,589,5625
No,546,35715
No,1112,33469
No,565,35821
No,592,38880
Yes,1469,10195
No,958,35331
No,448,29537
No,1188,40705
No,735,35010
No,1423,48914
No,217,26975
No,672,36705
No,831,45959
No,653,58750
No,534,64930
No,1382,30396
No,1166,38110
No,1190,34198
No,435,39505
No,1266,27234
No,1304,40010
No,563,41935
No,531,28836
No,746,60181
No,266,37622
Yes,1900,33196
No,507,56075
No,1254,37646
No,1302,38919
Yes,1715,9430
No,449,31625
No,506,31971
No,1150,54983
No,981,30385
No,60,36000
No,1232,50732
No,924,28804
No,518,65502
No,984,26050
No,1530,52682
No,273,44250
Yes,1751,25215
No,722,46270
No,511,25768
No,564,41354
No,1111,47221
No,403,48874
No,430,29246
No,278,33188
Yes,1528,19438
No,1202,30099
No,491,44686
No,871,37180
No,494,49736
No,1098,23224
No,976,29998
No,1374,43124
No,637,45649
No,1823,24745
No,606,34515
No,492,37129
No,248,37869
No,1037,37151
No,1131,35235
No,1252,50174
Yes,1579,48330
No,1532,33595
No,935,30910
No,254,41472
No,323,36119
No,1051,31750
No,281,56567
No,702,49709
No,663,32756
No,225,25387
No,1109,60726
No,353,36752
No,600,32471
No,515,45764
No,279,49231
No,661,35806
No,1110,27501
No,1306,29376
Yes,1266,9736
No,589,33224
No,1290,35165
No,1054,50795
No,898,37900
No,636,49488
No,412,48347
Yes,1898,48346
No,1606,27382
No,486,53052
No,1738,38822
No,356,34731
No,819,55717
No,976,28804
No,127,40728
No,713,48176
No,738,48995
No,445,41958
No,1061,32839
No,1425,37189
No,888,41489
No,951,20616
No,883,27126
No,1127,47378
No,743,34353
No,1702,46589
No,650,39655
No,648,45392
No,995,24783
No,330,45757
No,1359,20701
Yes,1167,16581
No,672,26143
No,1405,47712
No,617,54490
No,467,24719
No,619,25928
No,1311,28978
No,124,28312
No,786,45305
No,748,46982
Yes,1424,4651
No,60,24889
No,1611,47894
No,546,27237
No,1249,52232
Yes,1303,30311
No,277,37177
No,624,57484
No,943,41765
Yes,1308,10601
No,1028,31298
No,408,51132
No,1355,42631
No,856,69124
No,1111,43992
No,438,27856
No,1014,60575
Yes,1923,44671
No,1067,49630
No,466,33999
No,899,36362
No,593,34356
No,164,42695
No,1441,33853
No,1158,39080
No,899,36335
No,331,44752
No,439,42132
No,490,27043
No,653,37144
No,207,49221
No,1098,42332
No,1256,55971
No,538,54481
No,349,38844
No,168,20151
No,1612,42281
No,551,48008
No,827,61365
No,770,38010
No,559,53542
No,1567,42259
No,170,62708
No,529,46222
No,539,34834
No,435,35169
No,111,64526
No,154,49405
No,783,36515
No,911,33661
No,749,40612
No,669,42029
No,766,45155
No,265,34041
Yes,2081,21378
No,325,47103
Yes,1732,44220
No,783,37497
No,1444,51155
Yes,1904,27345
No,318,42209
No,901,43243
No,528,39951
No,1144,42695
Yes,789,14257
No,1024,27105
No,620,29217
No,1007,34893
No,1342,51443
No,149,52310
No,280,52008
No,870,49313
No,1493,56364
No,1128,43345
No,925,38677
No,312,43380
No,697,28610
No,465,17862
No,890,52943
No,724,43400
No,980,40374
No,33,30510
No,1204,40969
No,736,23225
No,826,48217
No,875,36709
No,827,43833
No,1509,31739
No,303,51030
No,590,42335
No,1120,45153
No,1270,44185
No,848,35187
No,561,43255
No,620,45463
No,1198,18449
Yes,1586,38746
No,478,28263
No,1145,41371
No,779,58860
No,681,56759
No,339,38097
No,909,55612
No,481,11193
No,1354,52049
No,1074,28846
No,759,24473
No,4,38326
No,195,38794
No,379,43096
No,466,30793
No,1144,33625
No,204,63638
No,721,42754
No,1386,44983
No,1128,64619
No,808,36076
No,379,15738
No,491,37999
No,762,46422
No,1788,33313
No,965,33908
No,932,52704
No,10,37673
No,784,44927
No,503,20476
Yes,775,12210
No,950,38990
Yes,1332,40566
No,315,43441
No,444,46611
No,427,34191
No,533,55847
No,470,29309
No,98,25309
No,400,30160
No,1266,20817
No,1267,47991
No,116,30765
No,824,24533
No,1032,46542
No,588,39619
No,1379,48255
No,738,35134
No,563,47142
No,1611,30099
No,586,31467
No,1651,43478
No,759,37486
No,1956,45508
No,447,27627
No,875,39808
No,185,44021
No,1134,39860
No,1040,35640
No,754,21508
No,818,34904
No,764,64968
No,637,48943
No,911,31265
No,125,50060
No,795,34170
No,649,37015
No,292,41036
No,1286,31068
No,846,44481
No,611,36145
No,302,28805
No,1074,35055
No,511,32152
No,974,43862
No,46,42534
No,1732,58076
No,1429,31388
No,504,62115
Yes,1479,7303
No,19,24699
No,1047,46008
No,1373,35468
No,958,28146
No,827,47359
No,1005,42128
No,1133,25402
No,619,45155
No,1074,47935
No,1109,39677
No,584,42590
No,836,23161
No,699,29580
No,930,40442
No,917,41432
No,1324,10892
No,265,45828
No,1524,18879
No,326,30156
No,1821,54052
No,1187,53319
No,1452,27854
No,32,38789
No,685,36015
No,1072,54792
No,874,50078
No,926,38094
No,1236,53171
Yes,660,20992
No,235,40394
No,855,26672
No,329,20709
No,1541,32508
No,1457,59362
No,83,45443
No,96,31437
No,675,47654
No,918,44467
No,379,14793
Yes,1304,10861
No,1470,43437
No,200,36926
No,843,39512
No,677,34401
No,46,42026
No,543,48898
No,90,30004
No,908,37320
No,1198,30377
No,1378,43412
No,183,32359
No,530,35102
No,787,45773
No,1257,38083
No,1015,31026
No,598,52896
No,1296,45226
No,412,30207
Yes,805,18183
No,76,42075
No,643,34894
No,370,44507
No,653,52277
No,794,48908
No,917,19004
No,510,38614
No,948,42094
No,302,35232
No,892,35063
No,1378,38365
No,379,39492
No,410,30628
No,1256,43929
No,1218,33443
No,692,35563
No,438,31537
No,1068,70701
No,521,31982
No,675,41798
No,516,25892
No,859,43102
No,1114,59200
No,773,51788
No,376,43940
No,830,36164
No,300,34920
No,705,47752
No,468,43309
No,382,38348
No,450,46173
No,380,39064
No,1535,35282
No,1597,34656
No,778,52546
No,108,42200
No,935,57139
No,10,37590
No,1447,37323
No,829,25162
No,1474,47041
No,914,50351
No,1029,34258
No,564,54148
No,702,53152
No,1195,42107
Yes,1673,54084
No,890,20806
No,1143,28901
Yes,538,6863
No,741,48683
No,508,45839
No,432,30115
No,389,36933
No,1069,42361
No,518,45495
No,996,23721
No,995,47287
No,481,36192
No,414,42454
No,730,47074
No,11,43520
No,1160,46790
No,818,40659
No,1037,34913
No,199,49293
No,688,27081
No,202,37189
No,621,37249
No,963,30101
No,1107,51880
No,1391,30427
No,199,58599
No,91,37914
No,461,49243
No,1182,34785
No,748,43216
No,831,39080
No,656,40258
No,523,53116
No,482,35818
No,949,38248
No,1727,40791
No,892,43926
No,667,66538
No,319,44411
No,1147,44872
No,665,47879
No,1067,35568
No,549,43689
No,111,42292
No,505,59560
No,798,32922
Yes,2008,22111
No,966,29219
No,1768,30762
No,435,32198
No,162,43676
No,1389,38373
No,802,45053
No,1032,39260
No,893,43816
No,1007,45124
No,787,38024
No,116,50109
No,840,47348
No,239,25485
No,934,52319
No,459,37631
No,232,11151
No,151,32106
No,1215,55231
No,1435,33729
No,338,47340
No,194,28743
No,299,50230
No,1297,47095
No,690,56959
No,1014,34167
No,1214,48797
No,591,50247
No,1439,35532
No,438,48859
No,783,37428
No,1865,48678
No,208,46841
No,621,32169
No,994,52690
No,675,42464
No,538,46953
No,690,29924
No,654,37707
No,798,29934
No,763,48170
No,1664,52975
No,988,49804
No,1420,40295
No,618,16944
No,1028,32250
No,524,39168
No,517,39544
No,207,53059
No,848,43024
No,632,37936
No,1015,51439
No,157,41415
No,525,43738
No,963,28661
No,594,24069
Yes,1622,13331
No,291,13240
No,1244,33880
No,1178,49062
No,530,39311
No,1028,51228
No,4,46970
No,1636,35815
No,108,33764
No,957,38286
No,459,33164
No,475,42059
No,316,47329
Yes,1342,20540
No,407,45376
No,1625,47575
No,909,42205
No,629,37617
No,825,34278
No,763,41618
No,1246,49480
No,61,41548
No,1378,34684
No,1215,43793
No,495,13980
No,840,39158
No,982,29157
No,434,30582
No,1213,17727
No,316,26518
No,714,37230
No,997,22062
No,1326,34946
No,44,48544
No,666,50105
Yes,1634,11336
No,304,28525
No,634,35131
No,747,43899
No,1290,36899
No,1349,33488
Yes,1633,30778
No,694,32595
No,468,43436
No,618,27869
No,872,36005
No,895,37904
No,340,31093
No,424,32640
No,894,47682
No,761,40854
No,883,37961
No,2037,31384
No,751,54993
No,579,25523
No,829,58070
No,1160,51895
No,1198,44048
No,418,48036
No,778,43911
No,626,29644
No,1383,36232
No,986,25342
No,938,24933
No,132,51107
No,499,44774
No,1236,37885
No,637,27828
Yes,2147,45789
No,516,42446
No,352,40716
No,918,26798
No,813,49478
No,1374,56878
No,314,37721
Yes,1104,21101
No,965,40815
No,1139,42759
No,615,25865
No,674,41891
No,1353,35743
No,727,46329
No,593,36996
No,542,56100
No,1055,29967
No,400,43244
No,1190,50839
No,698,38136
No,432,46941
No,851,53434
No,1458,37454
No,388,40064
No,794,43336
No,412,37088
No,752,48764
No,40,33278
No,1097,40021
No,919,28328
No,1185,39927
No,997,44749
No,1023,40866
No,423,46001
No,893,49960
No,1008,39611
No,692,45429
No,410,36502
No,599,49813
No,355,50161
No,870,33540
No,1786,54207
No,1621,38591
No,1121,39396
No,737,55188
No,1740,51623
No,1479,41986
No,904,35296
No,740,48283
No,229,36783
No,1314,39989
No,904,27396
No,668,42079
No,540,33856
No,1877,43442
No,740,30853
No,1098,43066
No,1581,36514
No,425,37351
No,617,38107
Yes,1673,38281
No,1023,19354
No,1460,44335
No,1236,35140
No,622,43472
No,281,50404
No,327,45563
No,903,52528
No,901,48855
Yes,1516,12912
No,1211,40183
No,829,33424
No,747,40355
No,481,33501
No,525,40663
No,1106,42110
Yes,1320,25665
No,173,47061
Yes,1120,11393
No,389,20200
Yes,1347,5679
No,910,44879
No,686,33190
No,972,33543
No,888,59416
No,1313,64403
No,1809,30021
No,1171,49833
No,439,44620
No,103,45799
No,1474,32860
No,781,37023
No,1144,28019
No,1149,37392
No,667,31150
No,1014,50269
No,828,36242
No,567,39841
No,687,32359
No,814,36614
No,1570,43025
No,778,50870
Yes,1645,49637
No,295,36539
No,781,22328
No,674,39509
No,343,58412
No,226,54124
No,955,52224
No,777,47369
No,527,49280
No,30,36973
No,125,16157
No,974,48095
No,1288,42226
No,269,33847
No,1106,35451
No,361,37582
No,933,24114
No,1184,38410
No,970,41302
No,684,41005
No,915,23683
No,607,32497
No,690,37696
No,562,38895
No,304,43791
Yes,1123,6664
No,888,29642
No,309,39121
No,1512,35653
No,1275,55207
No,849,44380
No,589,58764
No,551,24975
No,723,35938
Yes,699,18563
No,911,40223
No,949,39672
No,199,21753
No,781,29691
Yes,1483,12781
No,696,35921
No,564,47840
No,1041,41486
No,294,38894
No,237,44615
No,1267,34652
No,1060,33568
No,500,42053
No,729,33662
No,1238,37545
No,777,37685
No,202,28814
No,625,52075
No,1089,28232
No,993,45540
No,353,41549
No,417,69387
No,938,31664
No,1129,42566
No,211,50506
No,24,42815
No,891,43536
No,707,18676
No,1404,28764
No,817,55893
No,1216,47562
No,177,43150
No,402,51338
No,1214,45778
No,67,43190
No,1343,30961
No,1309,34470
Yes,1672,36257
No,358,45517
No,705,38298
No,748,21153
No,650,46497
No,1476,50702
No,1134,41748
No,1027,47046
No,1494,48134
Yes,1397,27542
No,44,50766
No,938,33342
No,777,36704
Yes,1592,12837
No,677,33014
No,136,59370
No,631,52492
No,316,38939
No,663,25729
No,72,35375
No,491,37836
No,1332,38903
No,755,37027
No,684,45400
No,130,44560
No,1224,46812
No,1525,52676
No,619,17122
No,354,43145
No,423,58345
No,26,28164
No,698,48470
No,462,44546
No,600,36584
No,1251,43191
No,1432,31251
No,694,47706
No,1102,38872
No,166,28440
No,1259,40859
No,1373,30219
No,1464,43700
No,1596,55712
No,901,55065
No,790,39022
No,1203,43809
No,1126,49359
No,236,39260
No,218,27167
No,414,49424
No,469,25680
No,924,27818
No,183,31624
No,478,30338
No,919,53331
No,749,48036
No,147,48281
No,1267,41931
No,695,48899
No,378,49731
No,976,39453
No,1314,31146
No,1302,15468
No,1247,41930
No,198,37086
No,396,27751
No,677,52081
No,682,29980
No,1115,45833
No,558,12741
No,531,35314
No,151,31217
Yes,966,13024
No,1086,52761
No,1254,34305
No,100,24688
No,961,51179
No,89,24087
No,919,47761
No,995,44218
No,1774,42956
No,702,35336
No,1178,30169
No,1308,43611
No,1115,35045
No,753,45523
No,1095,53581
No,355,30441
No,1309,31777
No,464,16670
No,571,46569
No,642,29224
No,487,25118
No,1082,43256
No,953,29328
No,1323,52019
No,857,32449
No,312,46116
No,499,47736
No,893,45380
No,557,45041
No,139,50249
No,241,36581
No,763,42481
No,131,54367
No,1253,32363
No,1496,44310
No,1442,45037
No,1258,38532
No,605,29770
No,601,45607
No,1165,29874
Yes,2054,24931
No,702,43341
No,673,27894
No,358,30217
No,1235,50293
No,1154,37553
No,1375,35811
No,249,51051
No,874,39665
No,768,23991
No,931,42225
No,650,32561
No,683,57554
No,1207,50011
No,895,39028
No,712,35468
No,1635,47670
No,741,46541
No,773,38647
No,1142,45173
No,894,42212
No,537,21364
No,1093,19759
No,541,29807
No,1049,34088
No,464,37842
No,214,56033
Yes,651,13541
No,819,61603
No,396,33709
No,1133,23111
No,748,36454
Yes,1337,19954
No,1138,36134
No,981,43651
No,239,30413
No,185,40875
No,145,41196
No,340,36133
No,304,43837
No,536,47957
Yes,1226,9012
No,825,46148
No,31,44971
No,536,51972
No,668,30803
No,694,42041
No,81,51044
No,1324,28692
No,775,39137
No,1416,31303
No,1005,34010
No,230,44232
No,673,47533
No,968,45299
No,258,29967
No,487,27687
No,207,49999
No,111,58186
No,678,30196
No,710,34625
Yes,1709,24395
No,1062,38251
No,373,35570
No,884,42866
No,658,26455
No,221,42087
No,174,40282
No,359,44487
No,422,35523
No,1005,36276
No,269,40733
Yes,1108,10166
No,1238,33816
No,355,29893
No,657,47044
No,1445,54599
No,1456,30333
No,804,46869
No,1345,30176
No,1134,37658
No,212,32283
No,425,22327
No,658,39243
No,1024,42336
No,816,31752
No,906,35877
No,623,42035
No,287,45953
No,1616,33046
No,710,32650
No,1214,45663
No,1004,52822
No,36,44603
No,1349,51189
Yes,1855,24055
No,126,33964
Yes,736,10811
No,1609,41572
No,885,48754
No,1358,49904
No,216,22255
No,1147,40871
No,778,39360
No,444,43425
No,827,16125
No,205,42077
No,820,38457
No,1386,31740
No,699,28683
No,756,33297
No,740,47350
No,220,37451
No,102,23477
No,215,47816
No,906,45720
No,736,18373
No,944,34546
No,1071,40758
No,1345,43322
No,266,60183
No,1006,27002
No,382,31751
No,1375,42558
No,817,40949
No,819,49111
No,853,58758
No,1037,43368
No,357,35623
No,812,33655
No,92,44337
No,1396,46379
No,73,50787
No,1168,27823
Yes,1550,35690
No,1039,26217
No,310,54946
No,1478,36710
No,80,34417
No,1219,34310
No,813,43980
No,557,35067
No,1688,32723
No,1138,21103
No,856,40394
No,1126,35126
No,541,29520
No,683,43142
No,539,35634
No,735,25305
No,1061,36921
No,849,38742
Yes,1564,38173
Yes,733,10088
No,626,53655
Yes,981,2155
No,603,70022
No,681,37287
No,921,25350
No,695,31779
No,1389,54936
No,636,21297
No,485,39775
No,1185,42970
No,657,32225
No,1085,36909
No,1310,36851
No,848,40982
No,78,56254
No,871,31771
No,450,36121
No,799,34294
No,1207,25646
No,604,44664
No,672,33851
No,670,24266
No,587,33732
No,1503,53130
No,1063,34642
No,512,36797
No,927,61938
No,368,50026
No,718,49347
No,334,40156
No,779,38388
No,882,62223
No,1563,31126
No,991,37597
No,431,38372
No,806,40454
No,439,32762
No,366,30632
No,708,35268
No,904,20444
No,914,40659
No,1047,39222
No,884,30520
No,435,39099
No,189,36707
No,366,40905
No,733,39024
No,594,28723
No,1733,30323
No,577,43585
No,55,32280
No,76,60827
No,551,27224
No,1350,26450
No,866,35141
No,6,46931
No,501,45368
Yes,1488,23832
No,1463,60296
Yes,868,11173
No,772,42139
No,1724,32611
No,787,33290
No,174,53965
No,1185,40959
No,1308,32216
No,203,53056
No,1092,32122
Yes,1203,4464
No,367,60456
No,476,37627
No,1269,42013
No,658,40807
Yes,962,13871
Yes,2075,28199
No,916,24243
No,988,49542
No,535,44449
No,1058,26628
No,1023,43699
No,749,53711
No,1000,40272
No,1076,22982
No,549,38094
Yes,1410,9775
No,863,58120
No,862,39272
No,567,22305
No,738,43693
No,463,50230
No,1006,42689
No,584,36677
No,1315,30067
No,114,32804
No,968,26211
No,651,51583
No,1035,53066
No,38,48740
No,652,48639
No,1530,40977
No,627,42139
No,1591,36242
No,36,37016
No,338,32667
No,744,37334
No,1112,43659
No,970,40142
No,975,25347
No,597,30765
No,1418,38015
No,1001,44801
No,771,44810
Yes,1512,39761
No,602,31523
No,122,46609
No,840,51351
No,1148,40516
No,1839,38104
No,1208,32430
No,952,49137
No,1251,45205
No,216,55278
No,1294,40768
No,463,46760
No,815,26231
No,855,34464
No,1062,35781
No,1035,67451
No,880,60206
No,847,37304
No,529,50195
No,1163,38903
No,570,40987
No,1728,33488
No,1286,43507
No,677,24990
No,1011,36299
No,296,30602
No,207,14909
No,1551,44597
No,1210,29460
No,408,47826
No,1562,56615
No,603,42798
No,928,39934
No,553,48268
No,839,43214
No,930,34535
No,1199,40275
No,480,24806
No,1523,44603
No,991,44966
No,891,14328
No,678,40804
No,1462,29574
No,1336,22246
No,355,36889
No,1274,41944
No,224,33542
No,1361,46420
No,211,34469
No,672,26431
No,275,28266
No,306,30587
No,294,35946
No,394,52725
No,1002,49319
No,358,29711
No,959,55090
No,734,49129
No,325,32962
No,910,47299
No,497,38316
No,417,53256
No,125,45764
No,855,39190
No,796,27278
No,1045,41726
No,1691,55413
No,936,34067
No,306,36813
No,698,21903
No,974,45941
No,455,45611
No,598,42734
No,615,45793
No,1270,47818
No,957,50834
No,144,54411
No,338,36787
No,856,40413
No,438,55721
No,620,39050
No,628,56266
No,187,36718
No,684,42438
No,963,33110
No,191,53691
No,68,52324
No,1337,33149
No,372,53695
No,1095,36282
No,813,59309
No,32,42192
No,656,37268
No,1340,37464
No,881,41729
No,685,27951
No,1158,61055
No,945,38739
No,1000,51386
No,1144,48045
No,1591,37501
No,54,46662
No,863,36774
No,712,29546
No,909,40757
No,779,31711
No,1081,32345
No,1124,27521
No,923,33122
No,1096,30653
No,1000,51421
No,1462,38559
No,699,41723
No,1381,52665
No,562,40555
No,1123,47141
No,643,45926
No,1141,44333
No,289,46551
No,758,33221
No,931,46501
Yes,1477,9660
No,1076,23633
No,470,51308
No,618,50178
Yes,1928,21559
No,1124,56218
No,795,41034
Yes,1029,24097
No,1006,50502
No,692,45421
No,525,41268
No,494,37409
No,1521,37511
No,665,47062
No,1095,34191
No,735,44933
No,682,33327
No,376,50748
Yes,2038,29513
No,184,36732
No,350,39391
No,674,49170
No,83,42048
No,1247,50540
No,273,52493
No,804,33418
No,1248,37470
No,1186,50354
Yes,1178,9473
No,736,36314
No,260,33552
No,221,43073
No,1098,29403
No,827,46946
No,570,38982
No,1316,45309
No,87,51258
No,1459,24851
No,1243,41185
No,791,41909
No,1997,50274
No,961,29304
No,647,28837
No,631,56267
No,611,28664
No,1224,34490
No,327,48756
No,1394,44093
No,929,35572
No,888,43479
No,986,41688
Yes,1026,41996
No,556,33705
No,1018,53962
No,1603,34700
No,921,47611
No,955,46310
No,388,38745
No,1253,35588
No,435,32907
No,491,37220
No,1113,44298
No,829,55697
No,568,38964
No,932,37280
No,1070,34694
No,864,17159
Yes,1587,36851
No,544,49901
No,199,50464
No,1026,35685
No,1318,40732
No,359,47689
No,360,52248
Yes,1954,24051
No,132,36948
No,519,46193
Yes,773,10109
No,1528,44641
No,1350,48103
No,372,46683
No,758,55279
No,1307,57561
No,606,58893
No,1085,21806
No,1078,40944
No,712,35741
No,1204,39419
No,1796,25879
No,231,36139
No,731,18843
No,1734,37622
No,641,30328
No,218,38766
No,912,26857
No,726,42272
No,409,35623
No,310,33334
No,1393,54027
No,898,48234
No,326,37393
No,896,30452
No,804,48014
No,509,46368
No,782,34831
No,1168,42388
No,562,36267
No,851,35684
No,753,18960
No,246,31307
Yes,1034,18331
No,591,59574
No,1345,26215
No,225,55041
No,362,54071
No,1323,48017
No,1043,28079
No,1476,48654
No,812,41821
No,775,38721
No,345,43247
No,946,30770
No,675,36922
No,1013,36406
No,452,59429
No,1092,30655
No,72,61588
No,1319,57769
No,266,41204
No,371,25321
No,849,41586
No,507,35353
No,421,39765
No,130,52169
No,327,40062
No,678,63792
No,1216,33599
No,461,37129
No,535,37281
No,1309,57191
No,507,42753
No,197,24562
No,1490,30297
No,582,53101
No,372,45950
No,1174,35533
No,613,34665
No,969,33763
No,849,35193
No,93,40723
No,1655,33180
No,212,53619
No,74,44309
No,692,37592
No,958,40316
No,69,41567
No,1394,42921
No,1318,36611
No,602,53554
No,430,41105
No,212,33448
No,544,33862
Yes,1412,23326
No,1416,33099
No,193,37377
No,857,67124
No,1132,29715
No,1489,37758
No,1527,33924
No,965,43745
No,326,32920
No,866,65932
No,626,34008
No,836,43275
No,827,44372
No,102,33300
No,1609,52753
No,1148,20766
No,855,35749
No,1682,36367
No,690,30305
No,1706,32901
No,480,43744
No,894,45251
No,994,26769
Yes,1414,13101
No,543,40996
No,1186,47782
No,496,44361
No,534,33786
No,150,38610
No,957,57698
No,837,51032
No,857,25742
No,877,49291
No,979,27535
No,1622,37970
No,644,44251
Yes,1011,10579
No,1170,33333
No,384,31750
No,618,44420
No,565,29016
No,290,32863
No,633,54034
No,1471,44490
No,789,43835
No,219,52075
No,1047,26555
No,390,29032
No,642,35800
No,392,35013
No,1484,58311
No,898,47558
No,112,34320
No,634,56726
No,792,47887
No,1088,43135
No,1471,40080
No,1117,42388
No,1590,42268
No,636,39172
No,108,41840
No,817,52492
No,6,45840
No,762,13889
No,1418,38034
No,582,29240
No,369,38419
No,966,10175
No,399,54330
No,52,41839
No,461,40046
No,1139,36959
No,708,48790
No,119,42824
No,1057,42732
No,1035,41714
No,1010,34189
No,656,36349
No,539,23561
No,1377,49406
No,1324,45115
No,1021,35653
No,2034,41629
No,889,19943
No,1350,39556
Yes,1236,5378
No,283,29478
No,601,25319
No,325,51140
No,967,51674
No,712,45420
No,1548,50638
No,1455,43821
No,355,46148
No,283,39961
No,304,29048
No,158,36206
No,300,41189
No,464,43331
No,1654,39580
No,763,45527
No,1206,34622
No,577,39210
No,988,40244
No,524,40319
No,1009,68610
No,772,36997
No,702,39527
No,1429,40565
No,528,46389
No,963,60084
No,574,49466
No,1410,62395
No,817,47272
No,245,54133
No,485,14676
No,678,50309
No,287,34500
No,832,41248
No,1024,33832
No,1277,42473
No,967,27663
No,276,53626
No,1041,39516
No,182,39703
No,162,41381
No,405,52571
No,887,51519
Yes,1845,21575
No,793,37550
No,939,14524
No,19,35590
No,601,24400
No,132,51695
No,743,25186
No,728,52515
No,467,33644
No,1576,45957
No,1593,73554
No,463,42297
No,219,37993
No,702,57468
No,1456,33455
No,1358,43377
No,1033,23350
No,799,48336
No,235,27500
No,890,36631
No,1124,31740
No,1469,38522
No,938,13405
No,722,26984
No,611,42900
No,408,18555
No,1057,58134
No,1262,57159
Yes,1270,21416
No,760,45921
No,929,23134
No,1177,35420
No,309,42227
No,982,38484
No,200,24280
No,1630,54323
No,947,28310
No,537,40828
No,357,39445
No,500,34438
No,1346,40803
No,1026,22741
No,403,42993
No,699,36958
No,1446,15666
No,543,52625
No,767,25376
No,808,29213
No,737,46416
No,1076,31846
No,236,38203
No,1382,40394
No,177,48958
No,1321,29105
No,1336,19482
Yes,947,8154
No,307,36121
No,998,46052
No,561,44404
Yes,1058,6272
No,1353,40164
No,10,32642
No,934,33633
No,663,36277
No,52,36852
No,798,53399
No,1217,62764
No,742,45809
No,455,43513
No,1254,28153
No,918,44113
No,172,33505
No,1326,46587
No,1275,40026
Yes,1547,9927
